feature1,feature2
0.8074401551640625,0.8960912999234932
0.3180034749718639,0.11005192452767676
0.22793516254194168,0.4271077886262563
0.8180147659224931,0.8607305832563434
0.006952130531190703,0.5107473025775657
0.417411003148779,0.22210781047073025
0.1198653673336828,0.33761517140362796
0.9429097039125192,0.32320293202075523
0.5187906217433661,0.7030189588951778
0.363629602379294,0.9717820827209607
0.9624472949421112,0.25178229582536416
0.49724850589238545,0.30087830981676966
0.2848404943774676,0.036886947354532795
0.6095643339798968,0.5026790232288615
0.05147875124998935,0.27864646423661144
0.9082658859666537,0.23956189066697242
0.1448948720912231,0.489452760277563
0.9856504541106007,0.2420552715115004
0.6721355474058786,0.7616196153287176
0.23763754399239967,0.7282163486118596
0.3677831327192532,0.6323058305935795
0.6335297107608947,0.5357746840747585
0.0902897700544083,0.835302495589238
0.32078006497173583,0.18651851039985423
0.040775141554763916,0.5908929431882418
0.6775643618422824,0.016587828927856152
0.512093058299281,0.22649577519793795
0.6451727904094499,0.17436642900499144
0.690937738102466,0.3867353463005374
0.9367299887367345,0.13752094414599325
0.3410663510502585,0.11347352124058907
0.9246936182785628,0.877339353380981
0.2579416277151556,0.659984046034179
0.8172222002012158,0.5552008115994623
0.5296505783560065,0.24185229090045168
0.09310276780589921,0.8972157579533268
0.9004180571633305,0.6331014572732679
0.3390297910487007,0.3492095746126609
0.7259556788702394,0.8971102599525771
0.8870864242651173,0.7798755458576239
0.6420316461542878,0.08413996499504883
0.16162871409461377,0.8985541885270792
0.6064290596595899,0.009197051616629648
0.1014715428660321,0.6635017691080558
0.005061583846218687,0.16080805141749865
0.5487337893665861,0.6918951976926933
0.6519612595026005,0.22426930946055978
0.7121792213475359,0.23724908749680007
0.3253996981592677,0.7464914051180241
0.6496328990472147,0.8492234104941779
0.6576128923003434,0.5683086033354716
0.09367476782809248,0.3677158030594335
0.26520236768172545,0.24398964337908358
0.9730105547524456,0.3930977246667604
0.8920465551771133,0.6311386259972629
0.7948113035416484,0.5026370931051921
0.5769038846263591,0.4925176938188639
0.1952429877980445,0.7224521152615053
0.2807723624408558,0.02431596643145384
0.6454722959071678,0.17711067940704894
0.9404585843529143,0.9539285770025874
0.9148643902204485,0.3701587002554444
0.015456616528867428,0.9283185625877254
0.42818414831731433,0.9666548190436696
0.9636199770892528,0.8530094554673601
0.2944488920695857,0.38509772860192526
0.8511366715168569,0.31692200515627766
0.1694927466860925,0.5568012624583502
0.936154774160781,0.696029796674973
0.570061170089365,0.09717649377076854
0.6150072266991697,0.9900538501042633
0.14008401523652403,0.5183296523637367
0.8773730719279554,0.7407686177542044
0.697015740995268,0.7024840839871093
0.35949115121975517,0.29359184426449336
0.8093611554785136,0.8101133946791808
0.8670723185801037,0.9132405525564713
0.5113423988609378,0.5015162946871996
0.7982951789667752,0.6499639307777652
0.7019668772577033,0.795792669436101
0.8900053418175663,0.3379951568515358
0.375582952639944,0.093981939840869
0.578280140996174,0.035942273796742086
0.46559801813246016,0.5426446347075766
0.2865412521282844,0.5908332605690108
0.03050024993904943,0.03734818874921442
0.8226005606596583,0.3601906414112629
0.12706051265188478,0.5222432600548044
0.7699935530986108,0.21582102749684318
0.6228904758190003,0.085347464993768
0.0516817211686077,0.531354631568148
0.5406351216101065,0.6374299014982066
0.7260913337226615,0.9758520794625346
0.5163003483011953,0.32295647294124596
0.7951861947687037,0.2708322512620742
0.4389714207056361,0.07845638134226596
0.02535074341545751,0.9626484146779251
0.8359801205122058,0.695974206093698
0.4089529444142699,0.17329432007084578
0.15643704267108605,0.25024289816459533
